description,number,class
"Matches, strike anywhere",1331,4.1
Metaldehyde,1332,4.1
"Cerium, slabs, ingots, or rods",1333,4.1
"Naphthalene, crude or Naphthalene, refined",1334,4.1
"Nitroguanidine, wetted or Picrite, wetted with not less than 20 percent water, by mass",1336,4.1
"Nitrostarch, wetted with not less than 20 percent water, by mass",1337,4.1
"Phosphorus, amorphous",1338,4.1
"Phosphorus heptasulfide, free from yellow or white phosphorus",1339,4.1
"Phosphorus pentasulfide, free from yellow or white phosphorus",1340,4.3
"Phosphorus sesquisulfide, free from yellow or white phosphorus",1341,4.1
"Phosphorus trisulfide, free from yellow or white phosphorus",1343,4.1
"Trinitrophenol, wetted with not less than 30 percent water, by mass",1344,4.1
Rubber scrap or shoddy,1345,4.1
"Silicon powder, amorphous",1346,4.1
"Silver picrate, wetted with not less than 30 percent water, by mass",1347,4.1
"Sodium dinitro-o-cresolate, wetted with not less than 15 percent water, by mass",1348,4.1
"Sodium picramate, wetted with not less than 20 percent water, by mass",1349,4.1
Sulfur,1350,4.1
"Titanium powder, wetted with not less than 25 percent water (a visible excess of water must be present) (a) mechanically produced, particle size less than 53 micrometres; (b) chemically produced, particle size less than 840 micrometres",1352,4.1
"Fibers or Fabrics impregnated with weakly nitrated nitrocellulose, n.o.s.",1353,4.1
"Trinitrobenzene, wetted with not less than 30 percent water, by mass",1354,4.1
"Trinitrobenzoic acid, wetted with not less than 30 percent water, by mass",1355,4.1
"Trinitrotoluene wetted with not less than 30 percent water, by mass",1356,4.1
"Urea nitrate, wetted with not less than 20 percent water, by mass",1357,4.1
"Zirconium powder, wetted with not less than 25 percent water (a visible excess of water must be present) (a) mechanically produced, particle size less than 53 micrometres; (b) chemically produced, particle size less than 840 micrometres",1358,4.1
Calcium phosphide,1360,4.3
"Carbon, animal or vegetable origin",1361,4.2
"Carbon, activated",1362,4.2
Copra,1363,4.2
"Cotton waste, oily",1364,4.2
"Cotton, wet",1365,4.2
Diethylzinc,1366,4.2
p-Nitrosodimethylaniline,1369,4.2
Dimethylzinc,1370,4.2
"Fibers or Fabrics, animal or vegetable or Synthetic, n.o.s. with animal or vegetable oil",1373,4.2
"Fish meal, unstabilized or Fish scrap, unstabilized",1374,4.2
"Iron oxide, spent, or Iron sponge, spent obtained from coal gas purification",1376,4.2
"Metal catalyst, wetted with a visible excess of liquid",1378,4.2
"Paper, unsaturated oil treated incompletely dried (including carbon paper)",1379,4.2
Pentaborane,1380,4.2
"Phosphorus, white dry or Phosphorus, white, under water or Phosphorus white, in solution or Phosphorus, yellow dry or Phosphorus, yellow, under water or Phosphorus, yellow, in solution",1381,4.2
"Potassium sulfide, anhydrous or Potassium sulfide with less than 30 percent water of crystallization",1382,4.2
"Pyrophoric metals, n.o.s. or Pyrophoric alloys, n.o.s.",1383,4.2
Sodium dithionite or Sodium hydrosulfite,1384,4.2
"Sodium sulfide, anhydrous or Sodium sulfide with less than 30 percent water of crystallization",1385,4.2
"Seed cake, containing vegetable oil solvent extractions and expelled seeds, with not more than 10 percent of oil and when the amount of moisture is higher than 11 percent, with not more than 20 percent of oil and moisture combined or Seed cake with more than 1.5 percent oil and not more than 11 percent moisture. It is not to be confused with bush bread, which is also referred to as seed cake.",1386,4.2
"Alkali metal amalgam, liquid or Alkali metal amalgam, solid",1389,4.3
Alkali metal amides,1390,4.3
"Alkali metal dispersions, or Alkaline earth metal dispersions",1391,4.3
Alkaline earth metal amalgams,1392,4.3
"Alkaline earth metal alloys, n.o.s.",1393,4.3
Aluminium carbide,1394,4.3
Aluminium ferrosilicon powder,1395,4.3
"Aluminium powder, uncoated",1396,4.3
Aluminium phosphide,1397,4.3
"Aluminium silicon powder, uncoated",1398,4.3
Barium,1400,4.3
Calcium,1401,4.3
Calcium carbide,1402,4.3
Calcium cyanamide with more than 0.1 percent of calcium carbide,1403,4.3
Calcium hydride,1404,4.3
Calcium silicide,1405,4.3
Caesium or Cesium,1407,4.3
"Ferrosilicon, with 30 percent or more but less than 90 percent silicon",1408,4.3
"Metal hydrides, water-reactive, n.o.s.",1409,4.3
Lithium aluminium hydride,1410,4.3
"Lithium aluminium hydride, ethereal",1411,4.3
Lithium borohydride,1413,4.3
Lithium hydride,1414,4.3
Lithium,1415,4.3
Lithium silicon,1417,4.3
"Magnesium, powder or Magnesium alloys, powder",1418,4.3
Magnesium aluminium phosphide,1419,4.3
"Potassium, metal alloys",1420,4.3
"Alkali metal alloys, liquid, n.o.s.",1421,4.3
Potassium sodium alloys,1422,4.3
Rubidium,1423,4.3
Sodium borohydride,1426,4.3
Sodium hydride,1427,4.3
Sodium,1428,4.3
Sodium methylate,1431,4.2
Sodium phosphide,1432,4.3
Stannic phosphide,1433,4.3
Zinc ashes,1435,4.3
Zinc powder or Zinc dust,1436,4.3
Zirconium hydride,1437,4.1
Aluminium nitrate,1438,5.1
Ammonium dichromate,1439,5.1
Ammonium perchlorate,1442,5.1
Ammonium persulfate,1444,5.1
Barium chlorate,1445,5.1
Barium nitrate,1446,5.1
Barium perchlorate,1447,5.1
Barium permanganate,1448,5.1
Barium peroxide,1449,5.1
"Bromates, inorganic, n.o.s.",1450,5.1
Caesium nitrate or Cesium nitrate,1451,5.1
Calcium chlorate,1452,5.1
Calcium chlorite,1453,5.1
Calcium nitrate,1454,5.1
Calcium perchlorate,1455,5.1
Calcium permanganate,1456,5.1
Calcium peroxide,1457,5.1
Chlorate and borate mixtures,1458,5.1
"Chlorat und Magnesiumchlorid, Mischung",1459,5.1
"Chlorates, inorganic, n.o.s.",1461,5.1
"Chlorites, inorganic, n.o.s.",1462,5.1
"Chromium trioxide, anhydrous",1463,5.1
Didymium nitrate,1465,5.1
Ferric nitrate,1466,5.1
Guanidine nitrate,1467,5.1
Lead nitrate,1469,5.1
"Lead perchlorate, solid or Lead perchlorate, solution",1470,5.1
"Lithium hypochlorite, dry or Lithium hypochlorite mixtures, dry",1471,5.1
Lithium peroxide,1472,5.1
Magnesium bromate,1473,5.1
Magnesium nitrate,1474,5.1
Magnesium perchlorate,1475,5.1
Magnesium peroxide,1476,5.1
"Nitrates, inorganic, n.o.s.",1477,5.1
"Oxidizing solid, n.o.s.",1479,5.1
"Perchlorates, inorganic, n.o.s.",1481,5.1
"Permanganates, inorganic, n.o.s.",1482,5.1
"Peroxides, inorganic, n.o.s.",1483,5.1
Potassium bromate,1484,5.1
Potassium chlorate,1485,5.1
Potassium nitrate,1486,5.1
Potassium nitrate and sodium nitrite mixtures,1487,5.1
Potassium nitrite,1488,5.1
"Potassium perchlorate, solid or Potassium perchlorate, solution",1489,5.1
Potassium permanganate,1490,5.1
Potassium peroxide,1491,5.1
Potassium persulfate,1492,5.1
Silver nitrate,1493,5.1
Sodium bromate,1494,5.1
Sodium chlorate,1495,5.1
Sodium chlorite,1496,5.1
Sodium nitrate,1498,5.1
Sodium nitrate and potassium nitrate mixtures,1499,5.1
Sodium nitrite,1500,5.1
Sodium perchlorate,1502,5.1
Sodium permanganate,1503,5.1
Sodium peroxide,1504,5.1
Sodium persulfate,1505,5.1
Strontium chlorate,1506,5.1
Strontium nitrate,1507,5.1
Strontium perchlorate,1508,5.1
Strontium peroxide,1509,5.1
Tetranitromethane,1510,5.1
Urea hydrogen peroxide,1511,5.1
Zinc ammonium nitrite,1512,5.1
Zinc chlorate,1513,5.1
Zinc nitrate,1514,5.1
Zinc permanganate,1515,5.1
Zinc peroxide,1516,5.1
"Zirconium picramate, wetted with not less than 20 percent water, by mass",1517,4.1
"Acetone cyanohydrin, stabilized",1541,6.1
"Alkaloids, solid, n.o.s. or Alkaloid salts, solid, n.o.s. poisonous",1544,6.1
"Allyl isothiocyanate, stabilized",1545,6.1
Ammonium arsenate,1546,6.1
Aniline,1547,6.1
Aniline hydrochloride,1548,6.1
"Antimony compounds, inorganic, solid, n.o.s.",1549,6.1
Antimony lactate,1550,6.1
Antimony potassium tartrate,1551,6.1
"Arsenic acid, liquid",1553,6.1
"Arsenic acid, solid",1554,6.1
Arsenic bromide,1555,6.1
"Arsenic compounds, liquid, n.o.s. inorganic, including arsenates, n.o.s.; arsenites, n.o.s.; arsenic sulfides, n.o.s.; and organic compounds of arsenic, n.o.s.",1556,6.1
"Arsenic compounds, solid, n.o.s. inorganic, including arsenates, n.o.s.; arsenites, n.o.s.; arsenic sulfides, n.o.s.; and organic compounds of arsenic, n.o.s.",1557,6.1
Arsenic,1558,6.1
Arsenic pentoxide,1559,6.1
Arsenic trichloride,1560,6.1
Arsenic trioxide,1561,6.1
Arsenical dust,1562,6.1
"Barium compounds, n.o.s.",1564,6.1
Barium cyanide,1565,6.1
"Beryllium compounds, n.o.s.",1566,6.1
"Beryllium, powder",1567,6.1
Bromoacetone,1569,6.1
Brucine,1570,6.1
"Barium azide, wetted with not less than 50 percent water, by mass",1571,4.1
Cacodylic acid,1572,6.1
Calcium arsenate,1573,6.1
"Calcium arsenate and calcium arsenite, mixtures, solid",1574,6.1
Calcium cyanide,1575,6.1
Chlorodinitrobenzenes,1577,6.1
"Chloronitrobenzene, ortho, liquid or Chloronitrobenzenes meta or para, solid",1578,6.1
4-Chloro-o-toluidine hydrochloride,1579,6.1
Chloropicrin,1580,6.1
Chloropicrin and methyl bromide mixtures,1581,2
Chloropicrin and methyl chloride mixtures,1582,2
"Chloropicrin mixtures, n.o.s.",1583,6.1
Copper acetoarsenite,1585,6.1
Copper arsenite,1586,6.1
Copper cyanide,1587,6.1
"Cyanides, inorganic, solid, n.o.s.",1588,6.1
"Cyanogen chloride, inhibited",1589,2
"Dichloroanilines, liquid or Dichloroanilines, solid",1590,6.1
o-Dichlorobenzene,1591,6.1
Dichloromethane,1593,6.1
Diethyl sulfate,1594,6.1
Dimethyl sulfate,1595,6.1
Dinitroanilines,1596,6.1
"Dinitrobenzenes, liquid or Dinitrobenzenes, solid",1597,6.1
"Dinitro-o-cresol, solid or Dintro-o-cresol, solution",1598,6.1
Dinitrophenol solutions,1599,6.1
"Dinitrotoluenes, molten",1600,6.1
"Disinfectants, solid, toxic, n.o.s.",1601,6.1
"Dyes, liquid, toxic, n.o.s. or Dye intermediates, liquid, toxic, n.o.s.",1602,6.1
Ethyl bromoacetate,1603,6.1
Ethylenediamine,1604,8
Ethylene dibromide,1605,6.1
Ferric arsenate,1606,6.1
Ferric arsenite,1607,6.1
Ferrous arsenate,1608,6.1
"Hexaethyl tetraphosphate, liquid or Hexaethyl tetraphosphate, solid",1611,6.1
Hexaethyl tetraphosphate and compressed gas mixtures,1612,2
"Hydrocyanic acid, aqueous solutions or Hydrogen cyanide, aqueous solutions with not more than 20 percent hydrogen cyanide or Hydrocyanic acid, aqueous solutions with less than 5 percent hydrogen cyanide",1613,6.1
"Hydrogen cyanide, stabilized with less than 3 percent water and absorbed in a porous inert material",1614,6.1
Lead acetate,1616,6.1
Lead arsenates,1617,6.1
Lead arsenites,1618,6.1
Lead cyanide,1620,6.1
London purple,1621,6.1
Magnesium arsenate,1622,6.1
Mercuric arsenate,1623,6.1
Mercuric chloride,1624,6.1
Mercuric nitrate,1625,6.1
Mercuric potassium cyanide,1626,6.1
Mercurous nitrate,1627,6.1
Mercury acetate,1629,6.1
Mercury ammonium chloride,1630,6.1
Mercury benzoate,1631,6.1
Mercury bromides,1634,6.1
Mercury cyanide,1636,6.1
Mercury gluconate,1637,6.1
"Mercury iodide, solution or Mercury iodide, solid",1638,6.1
Mercury nucleate,1639,6.1
Mercury oleate,1640,6.1
Mercury oxide,1641,6.1
"Mercury oxycyanide, desensitized",1642,6.1
Mercury potassium iodide,1643,6.1
Mercury salicylate,1644,6.1
Mercury sulfates,1645,6.1
Mercury thiocyanate,1646,6.1
"Methyl bromide and ethylene dibromide mixtures, liquid",1647,6.1
Acetonitrile,1648,3
Motor fuel anti-knock mixtures,1649,6.1
beta-Naphthylamine,1650,6.1
Naphthylthiourea,1651,6.1
Naphthylurea,1652,6.1
Nickel cyanide,1653,6.1
Nicotine,1654,6.1
"Nicotine compounds, solid, n.o.s. or Nicotine preparations, solid, n.o.s.",1655,6.1
Nicotine hydrochloride or Nicotine hydrochloride solution,1656,6.1
Nicotine salicylate,1657,6.1
"Nicotine sulfate, solid or Nicotine sulfate, solution",1658,6.1
Nicotine tartrate,1659,6.1
"Nitric oxide, compressed",1660,2
Nitroanilines (o-; m-; p-;),1661,6.1
Nitrobenzene,1662,6.1
Nitrophenols (o-; m-; p-;),1663,6.1
"Nitrotoluenes, liquid (o-; m-; p-;) or Nitrotoluenes, solid (m-; or p-;)",1664,6.1
Nitroxylenes (o-; m-; p-`),1665,6.1
Pentachloroethane,1669,6.1
Perchloromethyl mercaptan,1670,6.1
"Phenol, solid",1671,6.1
Phenylcarbylamine chloride,1672,6.1
Phenylenediamines (o-; m-; p-;),1673,6.1
Phenylmercuric acetate,1674,6.1
Potassium arsenate,1677,6.1
Potassium arsenite,1678,6.1
Potassium cuprocyanide,1679,6.1
Potassium cyanide,1680,6.1
Silver arsenite,1683,6.1
Silver cyanide,1684,6.1
Sodium arsenate,1685,6.1
"Sodium arsenite, aqueous solutions",1686,6.1
Sodium azide,1687,6.1
Sodium cacodylate,1688,6.1
Sodium cyanide,1689,6.1
Sodium fluoride,1690,6.1
Strontium arsenite,1691,6.1
Strychnine or Strychnine salts,1692,6.1
"Tear gas substances, liquid, n.o.s. or Tear gas substances, solid, n.o.s.",1693,6.1
"Bromobenzyl cyanides, liquid or Bromobenzyl cyanides, solid",1694,6.1
"Chloroacetone, stabilized",1695,6.1
"Chloroacetophenone (CN), liquid or Chloroacetophenone (CN), solid",1697,6.1
Diphenylamine chloroarsine,1698,6.1
"Diphenylchloroarsine, liquid or Diphenylchloroarsine, solid",1699,6.1
Tear gas candles,1700,6.1
"Xylyl bromide, liquid",1701,6.1
Tetrachloroethane,1702,6.1
Tetraethyl dithiopyrophosphate,1704,6.1
"Thallium compounds, n.o.s.",1707,6.1
"Toluidines, liquid",1708,6.1
"2,4-Toluylenediamine,solid (2,4-Toluenediamine)",1709,6.1
Trichloroethylene,1710,6.1
"Xylidines, liquid",1711,6.1
Zinc arsenate or Zinc arsenite or Zinc arsenate and zinc arsenite mixtures,1712,6.1
Zinc cyanide,1713,6.1
Zinc phosphide,1714,4.3
Acetic anhydride,1715,8
Acetyl bromide,1716,8
Acetyl chloride,1717,3
Butyl acid phosphate,1718,8
"Caustic alkali liquid, n.o.s.",1719,8
Allyl chloroformate,1722,6.1
Allyl iodide,1723,3
"Allyltrichlorosilane, stabilized",1724,8
"Aluminum bromide, anhydrous",1725,8
"Aluminum chloride, anhydrous",1726,8
"Ammonium hydrogendifluoride, solid",1727,8
Amyltrichlorosilane,1728,8
Anisoyl chloride,1729,8
"Antimony pentachloride, liquid",1730,8
"Antimony pentachloride, solution",1731,8
Antimony pentafluoride,1732,8
Antimony trichloride,1733,8
Benzoyl chloride,1736,8
Benzyl bromide,1737,6.1
Benzyl chloride or Benzyl chloride unstabilized,1738,6.1
Benzyl chloroformate,1739,8
"Hydrogen difluorides, n.o.s. solid",1740,8
Boron trichloride,1741,2.3
Boron trifluoride acetic acid complex,1742,8
Boron trifluoride propionic acid complex,1743,8
Bromine or Bromine solutions,1744,8
Bromine pentafluoride,1745,5.1
Bromine trifluoride,1746,5.1
Butyltrichlorosilane,1747,8
"Calcium hypochlorite, dry or Calcium hypochlorite mixtures dry with more than 39 percent available chlorine (8.8 percent available oxygen)",1748,5.1
Chlorine trifluoride,1749,2.3
"Chloroacetic acid, solution",1750,6.1
"Chloroacetic acid, solid",1751,6.1
Chloroacetyl chloride,1752,6.1
Chlorophenyltrichlorosilane,1753,8
Chlorosulfonic acid (with or without sulfur trioxide),1754,8
Chromic acid solution,1755,8
"Chromic fluoride, solid",1756,8
"Chromic fluoride, solution",1757,8
Chromium oxychloride,1758,8
"Corrosive solids, n.o.s.",1759,8
"Corrosive liquids, n.o.s.",1760,8
Cupriethylenediamine solution,1761,8
Cyclohexenyltrichlorosilane,1762,8
Cyclohexyltrichlorosilane,1763,8
Dichloroacetic acid,1764,8
Dichloroacetyl chloride,1765,8
Dichlorophenyltrichlorosilane,1766,8
Diethyldichlorosilane,1767,8
"Difluorophosphoric acid, anhydrous",1768,8
Diphenyldichlorosilane,1769,8
Diphenylmethyl bromide,1770,8
Dodecyltrichlorosilane,1771,8
"Ferric chloride, anhydrous",1773,8
"Fire extinguisher charges, corrosive liquid",1774,8
Fluoroboric acid,1775,8
Fluorophosphoric acid anhydrous,1776,8
Fluorosulfonic acid,1777,8
Fluorosilicic acid,1778,8
Formic acid,1779,8
Fumaryl chloride,1780,8
Hexadecyltrichlorosilane,1781,8
Hexafluorophosphoric acid,1782,8
Hexamethylenediamine solution,1783,8
Hexyltrichlorosilane,1784,8
Hydrofluoric acid and Sulfuric acid mixtures,1786,8
Hydriodic acid,1787,8
"Hydrobromic acid, with more than 49 percent hydrobromic acid or Hydrobromic acid, with not more than 49 percent hydrobromic acid",1788,8
Hydrochloric acid,1789,8
"Hydrofluoric acid, with more than 60 percent strength or Hydrofluoric acid, with not more than 60 percent strength",1790,8
Hypochlorite solutions,1791,8
Iodine monochloride,1792,8
Isopropyl acid phosphate,1793,8
Lead sulfate with more than 3 percent free acid,1794,8
"Nitrating acid mixtures, with more than 50 percent nitric acid or Nitrating acid mixtures, with not more than 50 percent nitric acid",1796,8
Nitrohydrochloric acid,1798,8
Nonyltrichlorosilane,1799,8
Octadecyltrichlorosilane,1800,8
Octyltrichlorosilane,1801,8
Perchloric acid with not more than 50 percent acid by mass,1802,8
"Phenolsulfonic acid, liquid",1803,8
Phenyltrichlorosilane,1804,8
"Phosphorsäure, fest",1805,8
Phosphorus pentachloride,1806,8
Phosphorus pentoxide,1807,8
Phosphorus tribromide,1808,8
Phosphorus trichloride,1809,6.1
Phosphorus oxychloride,1810,8
"Potassium hydrogendifluoride, solid or Potassium hydrogendifluoride, solution",1811,8
Potassium fluoride,1812,8
"Potassium hydroxide, solid",1813,8
"Potassium hydroxide, solution",1814,8
Propionyl chloride,1815,3
Propyltrichlorosilane,1816,8
Pyrosulfuryl chloride,1817,8
Silicon tetrachloride,1818,8
"Sodium aluminate, solution",1819,8
"Sodium hydroxide, solid",1823,8
Sodium hydroxide solution,1824,8
Sodium monoxide,1825,8
"Nitrating acid mixtures, spent with more than 50 percent nitric acid or Nitrating acid mixtures, spent with not more than 50 percent nitric acid",1826,8
"Stannic chloride, anhydrous",1827,8
Sulfur chlorides,1828,8
"Sulfur trioxide, inhibited or Sulfur trioxide, stabilized",1829,8
Sulfuric acid with more than 51 percent acid,1830,8
"Sulfuric acid, fuming with 30 percent or more free sulfur trioxide or Sulfuric acid, fuming with less than 30 percent free sulfur trioxide",1831,8
"Sulfuric acid, spent",1832,8
Sulfurous acid,1833,8
Sulfuryl chloride,1834,8
Tetramethylammonium hydroxide,1835,8
Thionyl chloride,1836,8
Thiophosphoryl chloride,1837,8
Titanium tetrachloride,1838,8
Trichloroacetic acid,1839,8
"Zinc chloride, solution",1840,8
Acetaldehyde ammonia,1841,9
Ammonium dintro-o-cresolate,1843,6.1
"Carbon dioxide, solid, also called Dry ice",1845,9
Carbon tetrachloride,1846,8
"Potassium sulfide, hydrated with not less than 30 percent water of crystallization",1847,8
Propionic acid,1848,8
"Sodium sulfide, hydrated with not less than 30 percent water",1849,6.1
"Medicine, liquid, toxic, n.o.s.",1851,6.1
"Barium alloys, pyrophoric",1854,4.2
"Calcium, pyrophoric or Calcium alloys, pyrophoric",1855,2
"Hexafluoropropylene, compressed or Refrigerant gas R 1216",1858,2
"Silicon tetrafluoride, compressed",1859,2
"Vinyl fluoride, inhibited",1860,3
Ethyl crotonate,1862,3
"Fuel, aviation, turbine engine",1863,3
n-Propyl nitrate,1865,3
"Resin solution, flammable",1866,3
Decaborane,1868,4.1
"Magnesium or Magnesium alloys with more than 50 percent magnesium in pellets, turnings, or ribbons",1869,4.3
Potassium borohydride,1870,4.1
Titanium hydride,1871,5.1
Lead dioxide,1872,5.1
"Perchloric acid with more than 50 percent but not more than 72 percent acid, by mass",1873,6.1
Barium oxide,1884,6.1
Benzidine,1885,6.1
Benzylidene chloride,1886,6.1
Bromochloromethane,1887,6.1
Chloroform,1888,6.1
Cyanogen bromide,1889,6.1
Ethyl bromide,1891,6.1
Ethyldichloroarsine,1892,6.1
Phenylmercuric hydroxide,1894,6.1
Phenylmercuric nitrate,1895,6.1
Tetrachloroethylene,1897,6.1
Acetyl iodide,1898,8
Diisooctyl acid phosphate,1902,8
"Disinfectants, liquid, corrosive, n.o.s.",1903,8
"Sludge, acid",1905,8
"Sludge, acid",1906,8
Soda lime with more than 4 percent sodium hydroxide,1907,8
Chlorite solution,1908,8
Calcium oxide,1910,8
"Diborane, compressed",1911,2
Methyl chloride and methylene chloride mixtures,1912,2
"Neon, refrigerated liquid (cryogenic liquid)",1913,2
Butyl propionates,1914,3
Cyclohexanone,1915,3
"2,2'-Dichlorodiethyl ether",1916,6.1
"Ethyl acrylate, inhibited",1917,3
Isopropylbenzene,1918,3
"Methyl acrylate, inhibited",1919,3
Nonanes,1920,3
"Propyleneimine, inhibited",1921,3
Pyrrolidine,1922,3
Calcium dithionite or Calcium hydrosulfite,1923,4.2
"Methyl magnesium bromide, in ethyl ether",1928,4.3
Potassium dithionite or Potassium hydrosulfite,1929,4.2
Zinc dithionite or Zinc hydrosulfite,1931,9
Zirconium scrap,1932,4.2
"Cyanide solutions, n.o.s.",1935,6.1
"Bromoacetic acid, solution or Bromoacetic acid, solid",1938,8
Phosphorus oxybromide,1939,8
Thioglycolic acid,1940,8
"Dibromodifluoromethane, R12B2",1941,9
"Ammonium nitrate, with not more than 0.2 percent of combustible substances, including any organic substance calculated as carbon, to the exclusion of any other added substance",1942,5.1
"Matches, safety (book, card, or strike on box)",1944,4.1
"Matches, wax, Vesta",1945,4.1
"Aerosols, corrosive, Packing Group II or III, (each not exceeding 1 L capacity) or Aerosols, flammable (each not exceeding 1 L capacity) or Aerosols, flammable, n.o.s. (engine starting fluid) (each not exceeding 1 L capacity) or Aerosols, nonflammable (each not exceeding 1 L capacity) or Aerosols, poison, each not exceeding 1 L capacity",1950,2
"Argon, refrigerated liquid (cryogenic liquid)",1951,2
Ethylene oxide and carbon dioxide mixtures with not more than 9 percent ethylene oxide,1952,2
"Compressed gas, toxic, flammable, n.o.s. Inhalation Hazard Zone A, B, C, or D",1953,2
"Compressed gas, flammable, n.o.s.",1954,2
"Compressed gas, toxic, n.o.s. Inhalation Hazard Zone A, B, C, or D",1955,2
"Compressed gas, n.o.s.",1956,2
"Deuterium, compressed",1957,2
"1,2-dichloro-1,1,2,2-tetrafluoroethane or Refrigerant gas R 114",1958,2
"1,1-Difluoroethylene or Refrigerant gas R 1132a",1959,2
"Ethane, refrigerated liquid",1961,2
"Ethylene, compressed",1962,2
"Helium, refrigerated liquid (cryogenic liquid)",1963,2
"Hydrocarbon gas mixture, compressed, n.o.s.",1964,2
"Hydrocarbon gas mixtures, liquefied, n.o.s.",1965,2
"Liquid hydrogen, refrigerated liquid (cryogenic liquid)",1966,2
"Insecticide gases, toxic, n.o.s.",1967,2
"Insecticide gases, n.o.s.",1968,2
"Isobutane see also Petroleum gases, liquified",1969,2
"Krypton, refrigerated liquid (cryogenic liquid)",1970,2
"Methane, compressed or Natural gas, compressed (with high methane content)",1971,2
"Methane, refrigerated liquid (cryogenic liquid) or Natural gas, refrigerated liquid (cryogenic liquid), with high methane content",1972,2
"Chlorodifluoromethane and chloropentafluoroethane mixture or Refrigerant gas R 502 with fixed boiling point, with approximately 49 percent chlorodifluoromethane",1973,2
Chlorodifluorobromomethane or Refrigerant gas R 12B1,1974,2
Nitric oxide and dinitrogen tetroxide mixtures or Nitric oxide and nitrogen dioxide mixtures,1975,2
"Octafluorocyclobutane, or Refrigerant gas RC 318",1976,2
"Nitrogen, refrigerated liquid cryogenic liquid",1977,2
"Propane see also Petroleum gases, liquefied",1978,2
"Rare gases, mixtures, compressed",1979,2
"Rare gases and oxygen mixtures, compressed",1980,2
"Rare gases and nitrogen mixtures, compressed",1981,2
"Tetrafluoromethane, compressed or Refrigerant gas R 14",1982,2
"1-Chloro-2,2,2-trifluoroethane or Refrigerant gas R 133a",1983,2
Trifluoromethane or Refrigerant gas R 23,1984,2
"Alcohols, flammable, toxic, n.o.s.",1986,3
"Alcohols, n.o.s.",1987,3
"Aldehydes, flammable, toxic, n.o.s.",1988,3
"Aldehydes, n.o.s.",1989,3
Benzaldehyde,1990,9
"Chloroprene, inhibited",1991,3
"Flammable liquids, toxic, n.o.s.",1992,3
"Combustible liquids, n.o.s.",1993,3
Iron pentacarbonyl,1994,6.1
"Tars, liquid including road asphalt and oils, bitumen and cut backs",1999,3
"Celluloid, in block, rods, rolls, sheets, tubes, etc., except scrap",2000,4.1
"Cobalt naphthenates, powder",2001,4.1
"Celluloid, scrape",2002,4.2
"Metal alkyls, water-reactive, n.o.s. or Metal aryls, water-reactive, n.o.s.",2003,4.2
Magnesium diamide,2004,4.2
Magnesium diphenyl,2005,4.2
"Plastics, nitrocellulose-based, self-heating, n.o.s.",2006,4.2
"Zirconium powder, dry",2008,4.2
"Zirconium, dry, finished sheets, strip or coiled wire",2009,4.2
Magnesium hydride,2010,4.3
Magnesium phosphide,2011,4.3
Potassium phosphide,2012,4.3
Strontium phosphide,2013,4.3
"Hydrogen peroxide, aqueous solutions with more than 40 percent but not more than 60 percent hydrogen peroxide (stabilized as necessary) or Hydrogen peroxide, aqueous solutions with not less than 20 percent but not more than 40 percent hydrogen peroxide (stabilized as necessary)",2014,5.1
"Hydrogen peroxide, stabilized or Hydrogen peroxide aqueous solutions, stabilized with more than 60 percent hydrogen peroxide",2015,5.1
"Ammunition, toxic, non-explosive, without burster or expelling charge, non-fuzed",2016,6.1
"Ammunition, tear-producing, non-explosive, without burster or expelling charge, non-fuzed",2017,6.1
"Chloroanilines, solid",2018,6.1
"Chloroanilines, liquid",2019,6.1
"Chlorophenols, solid",2020,6.1
"Chlorophenols, liquid",2021,6.1
Cresylic acid,2022,6.1
Epichlorohydrin,2023,6.1
"Mercury compounds, liquid, n.o.s.",2024,6.1
"Mercury compounds, solid, n.o.s.",2025,6.1
"Phenylmercuric compounds, n.o.s.",2026,6.1
"Sodium arsenite, solid",2027,6.1
"Bombs, smoke, non-explosive, with corrosive liquid, without initiating device",2028,8
"Hydrazine, anhydrous or Hydrazine aqueous solutions with more than 64 percent hydrazine, by mass",2029,8
"Hydrazine hydrate or Hydrazine aqueous solutions, with not less than 37 percent but not more than 64 percent hydrazine, by mass",2030,8
"Nitric acid other than red fuming, with more than 70 percent nitric acid or Nitric acid other than red fuming, with not more than 70 percent nitric acid",2031,8
"Nitric acid, red fuming",2032,8
Potassium monoxide,2033,8
"Hydrogen and Methane mixtures, compressed",2034,2
"1,1,1-Trifluoroethane, compressed or Refrigerant gas R 143a",2035,2
"Xenon, compressed",2036,2
"Gas cartridges (flammable) without a release device, non-refillable or Receptacles, small, containing gas (gas cartridges) flammable or nonflammable, without release device, not refillable and not exceeding 1 L capacity",2037,2
"Dinitrotoluenes, liquid or Dinitrotoluenes, solid",2038,6.1
"2,2-Dimethylpropane",2044,2
Isobutyraldehyde or Isobutyl aldehyde,2045,3
Cymenes,2046,3
Dichloropropenes,2047,3
Dicyclopentadiene,2048,3
Diethylbenzene,2049,3
"Diisobutylene, isomeric compounds",2050,3
2-Dimethylaminoethanol,2051,8
Dipentene,2052,3
Methyl isobutyl carbinol,2053,3
Morpholine,2054,3
"Styrene monomer, inhibited",2055,8
Tetrahydrofuran,2056,3
Tripropylene,2057,3
Valeraldehyde,2058,3
"Nitrocellulose, solution, flammable with not less than 12.6 percent nitrogen, by mass, and not more than 55 percent nitrocellulose",2059,3
